influencer_id,influencer_name,username,platform,category,country,followers,engagement_rate,avg_likes,avg_comments,avg_shares,avg_saves,reach,impressions,audience_quality_score,brand_name,brand_industry,target_audience,brand_match_score,campaign_type,campaign_duration_days,sponsored_post_count,estimated_campaign_budget,estimated_clicks,estimated_ctr,estimated_conversions,estimated_sales,estimated_revenue,estimated_roi,growth_tier,growth_score,authenticity_score,fake_follower_probability,campaign_success
INF-57FC06CE,Gianluca Vacchi,gianlucavacchi,TikTok,Lifestyle,Unknown,21500000.0,0.0222,477100,2000,2800,9546,7700000,10010000,20.0,Amazon,E-commerce,22-40 Mixed,0.762,Sponsored Post,16,1,380800.0,38500,0.005,320,320,14400.0,-0.962,Mega,28.3,51.6,0.163,0
INF-C99BB7B3,Chloë Grace Moretz,chloegmoretz,Instagram,Cinema & Actors/actresses,United States,21500000.0,0.0076,163200,218300,6536,9804,3225000,3870000,20.0,Netflix,Entertainment,18-45 Mixed,0.73,Brand Ambassador,22,2,157300.0,16125,0.005,103,103,1442.0,-0.991,Mega,16.4,52.4,0.151,0
INF-B52753F5,chloegmoretz,chloë grace moretz,Instagram,Cinema & Actors/actresses,United States,21500000.0,0.0077,164900,220600,6622,9933,3225000,3870000,20.0,Netflix,Entertainment,18-45 Mixed,0.703,Giveaway,19,1,190800.0,16125,0.005,140,140,1960.0,-0.99,Mega,16.4,56.1,0.091,0
INF-E3EDE8F5,VILMEI✨,vilmeijuga,TikTok,Lifestyle,Unknown,21400000.0,0.0125,267500,2100,1400,5350,3300000,4290000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.957,Giveaway,9,1,317400.0,16500,0.005,153,153,24480.0,-0.923,Mega,19.9,45.7,0.26,0
INF-DECC21E8,Bruno Gagliasso,brunogagliasso,Instagram,Cinema & Actors/actresses,Brazil,21400000.0,0.0065,139000,202500,5564,8346,3210000,3852000,20.0,Netflix,Entertainment,18-45 Mixed,0.799,Giveaway,58,1,382900.0,16050,0.005,120,120,1680.0,-0.996,Mega,15.2,49.9,0.191,0
INF-AB71BC26,지창욱,jichangwook,Instagram,Cinema & Actors/actresses,Indonesia,21400000.0,0.0387,828300,1100000,33127,49691,3210000,3852000,34.2,Disney+,Entertainment,18-45 Mixed,0.754,Product Review,29,3,414500.0,26964,0.0084,283,283,3962.0,-0.99,Mega,42.7,67.3,0.071,1
INF-24403BAF,The Hype House,thehypehouse,TikTok,Lifestyle,Unknown,21300000.0,0.0159,339600,831,340,6773,2200000,2860000,20.0,Amazon,E-commerce,22-40 Mixed,0.869,Live Stream,38,2,460200.0,11000,0.005,120,120,5400.0,-0.988,Mega,25.6,54.7,0.114,0
INF-9ECF01F0,권지용(權志龍),xxxibgdrgn,Instagram,Photography,Indonesia,21300000.0,0.0237,504800,640000,20192,30289,3195000,3834000,22.8,Adobe,Creative Software,20-40 Mixed,0.861,Giveaway,18,1,132100.0,15975,0.005,189,189,5670.0,-0.957,Mega,28.5,57.8,0.1,0
INF-7F21BE81,dababy,billion dollar baby 👶🏾,Instagram,Music,United States,21300000.0,0.0078,166700,271100,6646,9968,3195000,3834000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.753,Reel/Short Video,51,4,425100.0,15975,0.005,168,168,2016.0,-0.995,Mega,18.9,55.2,0.106,0
INF-B0300D8C,J M 🥀,jannatmirza,TikTok,Lifestyle,Unknown,21300000.0,0.0078,166200,1800,415,3323,1700000,2210000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.899,Story Ad,14,1,468400.0,8500,0.005,72,72,11520.0,-0.975,Mega,16.7,49.9,0.192,0
INF-D5F50330,Pooja Hegde,hegdepooja,Instagram,Cinema & Actors/actresses,India,21300000.0,0.0467,995700,1100000,39788,59683,3195000,3834000,34.3,Disney+,Entertainment,18-45 Mixed,0.73,Giveaway,25,1,234000.0,20768,0.0065,141,141,1974.0,-0.992,Mega,49.8,65.7,0.094,0
INF-770C0EC0,Jair M. Bolsonaro,jairmessiasbolsonaro,Instagram,Finance & Economics,Brazil,21300000.0,0.0213,452800,628900,18148,27221,3195000,3834000,23.2,Amazon,E-commerce,18-45 Mixed,0.93,Reel/Short Video,16,1,309800.0,20128,0.0063,195,195,8775.0,-0.972,Mega,30.0,63.1,0.022,1
INF-1B28BE73,cvillaloboss,carmen villalobos,Instagram,Shows,Colombia,21300000.0,0.0116,246500,303900,9883,14825,3195000,3834000,20.0,Hulu,Entertainment,18-40 Mixed,0.923,Brand Ambassador,52,2,480400.0,15975,0.005,136,136,1904.0,-0.996,Mega,19.9,57.0,0.076,0
INF-59A0139E,BILLION DOLLAR BABY 👶🏾,dababy,Instagram,Lifestyle,United States,21300000.0,0.0078,166700,271100,6646,9968,3195000,3834000,20.0,Amazon,E-commerce,22-40 Mixed,0.914,Giveaway,58,6,147900.0,15975,0.005,129,129,5805.0,-0.961,Mega,16.7,52.3,0.153,0
INF-4150F561,jasonderulo,jason derulo,Instagram,Music,United States,21300000.0,0.0116,247600,354200,9883,14825,3195000,3834000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.689,Sponsored Post,48,4,372000.0,15975,0.005,109,109,13080.0,-0.965,Mega,20.0,56.3,0.087,0
INF-4147B8D1,Irish Bella,_irishbella_,Instagram,Cinema & Actors/actresses,Indonesia,21300000.0,0.0043,92300,114500,3664,5495,3195000,3834000,20.0,Netflix,Entertainment,18-45 Mixed,0.71,Reel/Short Video,27,1,256300.0,15975,0.005,110,110,1540.0,-0.994,Mega,12.8,43.4,0.296,0
INF-E2CE7AA5,parishilton,paris hilton,Instagram,Modeling,United States,21200000.0,0.0079,167500,276100,6699,10049,3180000,3816000,20.0,Versace,Luxury Fashion,18-35 Female,0.66,Reel/Short Video,28,2,321100.0,15900,0.005,107,107,26750.0,-0.917,Mega,18.6,50.7,0.178,0
INF-3C9A4410,dagelan,dagelan,Instagram,Humor & Fun & Happiness,Indonesia,21100000.0,0.0033,70000,118100,2785,4178,3165000,3798000,20.0,Pepsi,FMCG,18-45 Mixed,0.612,Live Stream,30,1,195200.0,15825,0.005,111,111,1998.0,-0.99,Mega,14.6,51.8,0.16,0
INF-29B30932,divyankatripathidahiya,divyanka tripathi dahiya,Instagram,Shows,India,21100000.0,0.0044,93300,107800,3714,5570,3165000,3798000,20.0,HBO,Entertainment,18-40 Mixed,0.752,Giveaway,35,4,306500.0,15825,0.005,141,141,1974.0,-0.994,Mega,12.0,44.9,0.273,0
INF-C8300726,thiagosilva,thiago silva,Instagram,Sports with a ball,Brazil,21100000.0,0.0101,212100,357300,8524,12787,3165000,3798000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.674,Story Ad,16,1,122400.0,15825,0.005,82,82,3116.0,-0.975,Mega,17.7,57.3,0.072,0
INF-201A8927,ГУСЕЙН ГАСАНОВ,gusein.gasanov,Instagram,Shows,Russia,21000000.0,0.025,524500,786100,21000,31500,3150000,3780000,23.1,Hulu,Entertainment,18-40 Mixed,0.712,Reel/Short Video,15,1,215700.0,15750,0.005,90,90,1260.0,-0.994,Mega,31.1,59.8,0.072,0
INF-805CAC8E,Suresh Raina,sureshraina3,Instagram,Modeling,India,21000000.0,0.0176,369300,416600,14784,22176,3150000,3780000,20.0,Maybelline,Beauty & Cosmetics,18-35 Female,0.855,Brand Ambassador,43,3,203900.0,15750,0.005,165,165,5775.0,-0.972,Mega,23.9,59.9,0.03,0
INF-61AF5555,Joe Bartolozzi,joe.bartolozzi,TikTok,Lifestyle,Unknown,21000000.0,0.0144,301600,1900,492,6048,1800000,2340000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.835,Giveaway,23,1,120100.0,9000,0.005,69,69,8280.0,-0.931,Mega,22.2,46.4,0.248,0
INF-4DB9AD90,janhvikapoor,janhvi kapoor,Instagram,Lifestyle,India,21000000.0,0.0255,535400,638700,21420,32130,3150000,3780000,23.7,Samsung,Consumer Electronics,22-40 Mixed,0.89,Story Ad,55,3,215100.0,15750,0.005,154,154,18480.0,-0.914,Mega,30.2,58.5,0.099,0
INF-DDBEC67F,dababy,kirk,Instagram,Music,United States,21000000.0,0.0042,89100,145100,3528,5292,3150000,3780000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.904,Story Ad,33,2,192500.0,15750,0.005,148,148,1776.0,-0.991,Mega,13.4,44.0,0.287,0
INF-773AAD9C,Mark Ruffalo,markruffalo,Instagram,Cinema & Actors/actresses,Brazil,20900000.0,0.0052,108200,136800,4347,6521,3135000,3762000,20.0,Disney+,Entertainment,18-45 Mixed,0.936,Live Stream,23,2,479400.0,15675,0.005,108,108,1512.0,-0.997,Mega,12.5,48.4,0.216,0
INF-704DD5E8,JADE 🌪,jadepicon,Instagram,Modeling,Brazil,20900000.0,0.009,187700,412900,7524,11286,3135000,3762000,20.0,Versace,Luxury Fashion,18-35 Female,0.943,Brand Ambassador,27,1,144100.0,15675,0.005,165,165,41250.0,-0.714,Mega,17.6,56.5,0.084,0
INF-0E24C0A6,markruffalo,mark ruffalo,Instagram,Cinema & Actors/actresses,Brazil,20900000.0,0.0143,298700,375900,11955,17932,3135000,3762000,20.0,Disney+,Entertainment,18-45 Mixed,0.808,Giveaway,49,4,387100.0,15675,0.005,176,176,2464.0,-0.994,Mega,23.4,58.7,0.049,0
INF-D5292414,evaluna,evaluna montaner de echeverry,Instagram,Family,Argentina,20900000.0,0.0145,304000,418900,12122,18183,3135000,3762000,20.0,Colgate,FMCG,25-45 Female,0.791,Sponsored Post,34,1,88600.0,15675,0.005,130,130,2340.0,-0.974,Mega,22.6,56.4,0.086,0
INF-24D918C1,WILLIE SALIM,williesalim,TikTok,Lifestyle,Unknown,20900000.0,0.0425,888600,5000,3800,17765,13000000,16900000,32.1,Airbnb,Travel & Hospitality,22-40 Mixed,0.932,Reel/Short Video,44,1,244000.0,105300,0.0081,1253,1253,200480.0,-0.178,Mega,47.8,65.7,0.076,1
INF-4163CB71,nicolebahls,nicole bahls,Instagram,Modeling,Brazil,20900000.0,0.0034,71600,127600,2842,4264,3135000,3762000,20.0,L'Oreal,Beauty & Cosmetics,18-35 Female,0.661,Sponsored Post,27,2,187200.0,15675,0.005,78,78,2730.0,-0.985,Mega,14.6,48.2,0.219,0
INF-B5C83946,i_am_doshik,i_am_doshik1,TikTok,Lifestyle,Unknown,20900000.0,0.0098,205700,1000,438,4096,1900000,2470000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.878,Reel/Short Video,30,1,185000.0,9500,0.005,76,76,12160.0,-0.934,Mega,18.0,52.0,0.158,0
INF-2B641597,offsetyrn,offset,Instagram,Music,United States,20800000.0,0.0253,526900,944500,21050,31574,3120000,3744000,20.3,Apple Music,Entertainment & Music,15-35 Mixed,0.795,Giveaway,32,3,82700.0,15600,0.005,103,103,1236.0,-0.985,Mega,29.7,58.6,0.054,0
INF-A990709B,lakers,los angeles lakers,Instagram,Sports with a ball,United States,20800000.0,0.0048,100400,148500,3994,5990,3120000,3744000,20.0,Puma,Sports & Fitness,16-35 Male,0.673,Story Ad,30,1,300000.0,15600,0.005,105,105,6825.0,-0.977,Mega,15.6,48.1,0.22,0
INF-C5CB3CC8,meganfox,megan fox,Instagram,Cinema & Actors/actresses,United States,20800000.0,0.0769,1600000,2700000,63981,95971,3120000,3744000,55.4,Netflix,Entertainment,18-45 Mixed,0.934,Brand Ambassador,28,1,184500.0,59904,0.0192,821,821,11494.0,-0.938,Mega,54.5,75.9,0.094,1
INF-7CE81811,Evaluna Montaner de Echeverry,evaluna,Instagram,Family,Argentina,20700000.0,0.0409,846800,1200000,33865,50798,3105000,3726000,33.5,Johnson & Johnson,Baby & Family,25-45 Female,0.783,Brand Ambassador,35,3,484000.0,27324,0.0088,333,333,13320.0,-0.972,Mega,46.0,66.9,0.071,1
INF-BF7506D3,Chingu Amiga,chinguamiga,TikTok,Lifestyle,Unknown,20700000.0,0.0274,566200,1500,393,11344,4200000,5460000,21.6,Airbnb,Travel & Hospitality,22-40 Mixed,0.979,Product Review,22,2,313300.0,21000,0.005,248,248,39680.0,-0.873,Mega,31.9,60.3,0.045,1
INF-7A4353B9,domelipa,domelipa,Instagram,Lifestyle,Mexico,20700000.0,0.0368,761200,927600,30470,45706,3105000,3726000,28.4,Samsung,Consumer Electronics,22-40 Mixed,0.975,Live Stream,41,3,384800.0,25461,0.0082,237,237,28440.0,-0.926,Mega,43.2,64.3,0.062,1
INF-9229699D,peytonlist,peyton list,Instagram,Cinema & Actors/actresses,United States,20700000.0,0.0089,183600,276000,7369,11054,3105000,3726000,20.0,Disney+,Entertainment,18-45 Mixed,0.881,Brand Ambassador,32,2,418900.0,15525,0.005,172,172,2408.0,-0.994,Mega,17.2,56.3,0.087,0
INF-23F9C6BF,FORMULA 1®,f1,Instagram,Racing Sports,Italy,20700000.0,0.0062,129300,163500,5134,7700,3105000,3726000,20.0,Samsung,Consumer Electronics,18-45 Mixed,0.592,Live Stream,14,1,109200.0,15525,0.005,78,78,9360.0,-0.914,Mega,15.8,43.4,0.296,0
INF-D1E8BEA5,gessicakayane,gkay,Instagram,Shows,Brazil,20700000.0,0.0076,157600,324900,6293,9439,3105000,3726000,20.0,Hulu,Entertainment,18-40 Mixed,0.889,Giveaway,59,4,431100.0,15525,0.005,160,160,2240.0,-0.995,Mega,18.6,54.5,0.116,0
INF-E0A0C1A8,Sidharth Malhotra,sidmalhotra,Instagram,Cinema & Actors/actresses,India,20600000.0,0.0232,478200,595500,19117,28675,3090000,3708000,20.0,Disney+,Entertainment,18-45 Mixed,0.689,Product Review,12,1,153500.0,15450,0.005,100,100,1400.0,-0.991,Mega,28.7,58.1,0.058,0
INF-E095A173,Jake Paul,jakepaul,Instagram,Cinema & Actors/actresses,United States,20600000.0,0.0092,190400,320400,7581,11371,3090000,3708000,20.0,Disney+,Entertainment,18-45 Mixed,0.718,Sponsored Post,49,6,338100.0,15450,0.005,136,136,1904.0,-0.994,Mega,19.9,54.5,0.116,0
INF-6EE66172,Myriam Fares,myriamfares,Instagram,Lifestyle,Iraq,20600000.0,0.0037,75800,102400,3049,4573,3090000,3708000,20.0,Amazon,E-commerce,22-40 Mixed,0.898,Product Review,17,1,105900.0,15450,0.005,156,156,7020.0,-0.934,Mega,12.4,46.2,0.252,0
INF-450C8D81,Caio Castro,caiocastro,Instagram,Cars & Motorbikes,Brazil,20600000.0,0.0036,74900,132600,2966,4450,3090000,3708000,20.0,Pepsi,FMCG,18-45 Mixed,0.631,Giveaway,47,4,229800.0,15450,0.005,77,77,1386.0,-0.994,Mega,15.0,46.3,0.249,0
INF-A980545E,Future PLUTO Hendrix,future,Instagram,Music,United States,20600000.0,0.0238,490000,979600,19611,29417,3090000,3708000,20.7,Spotify,Entertainment & Music,15-35 Mixed,0.837,Giveaway,11,1,365200.0,15450,0.005,145,145,1740.0,-0.995,Mega,29.3,57.5,0.077,0
INF-97943B7B,CARMEN VILLALOBOS,cvillaloboss,Instagram,Shows,Colombia,20500000.0,0.0074,151400,186700,6068,9102,3075000,3690000,20.0,Netflix,Entertainment,18-40 Mixed,0.972,Product Review,43,3,85900.0,15375,0.005,158,158,2212.0,-0.974,Mega,18.7,55.1,0.107,0
INF-FC68540A,mohamedramadanws,mohamed ramadan,Instagram,Music,Egypt,20500000.0,0.0049,100800,139200,4018,6027,3075000,3690000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.7,Reel/Short Video,18,1,446600.0,15375,0.005,88,88,1056.0,-0.998,Mega,12.6,49.5,0.197,0
INF-2B38662A,marimaria,mari maria,Instagram,Beauty,Brazil,20500000.0,0.0039,79900,153900,3198,4797,3075000,3690000,20.0,Nykaa,Beauty & Cosmetics,18-30 Female,0.834,Story Ad,28,1,490000.0,15375,0.005,114,114,3990.0,-0.992,Mega,14.6,51.3,0.169,0
INF-5369269A,lucasranngel,lucas rangel,Instagram,Lifestyle,Brazil,20500000.0,0.007,143800,318000,5740,8610,3075000,3690000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.905,Sponsored Post,44,1,152200.0,15375,0.005,154,154,18480.0,-0.879,Mega,16.5,52.7,0.146,0
INF-E66451E0,Taylor Hill,taylor_hill,Instagram,Fashion,United States,20500000.0,0.0059,121000,180500,4838,7257,3075000,3690000,20.0,H&M,Fashion & Apparel,18-35 Female,0.827,Brand Ambassador,40,3,408900.0,15375,0.005,111,111,6105.0,-0.985,Mega,15.3,52.1,0.156,0
INF-771672A8,raphaelvarane,raphael varane,Instagram,Sports with a ball,Spain,20400000.0,0.0096,196800,295400,7834,11750,3060000,3672000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.818,Reel/Short Video,35,3,190600.0,15300,0.005,92,92,3496.0,-0.982,Mega,17.4,53.1,0.14,0
INF-59699276,irinashayk,irina shayk,Instagram,Modeling,Russia,20400000.0,0.0055,112200,155600,4488,6732,3060000,3672000,20.0,Versace,Luxury Fashion,18-35 Female,0.715,Reel/Short Video,38,4,222900.0,15300,0.005,116,116,29000.0,-0.87,Mega,15.2,44.4,0.28,0
INF-94B58056,sofiacarson,sofia carson,Instagram,Music,Brazil,20400000.0,0.0093,189200,256200,7589,11383,3060000,3672000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.825,Product Review,7,1,109700.0,15300,0.005,133,133,1596.0,-0.985,Mega,16.8,51.3,0.169,0
INF-7C5BB84B,coldplay,coldplay,Instagram,Music,Brazil,20400000.0,0.0168,343400,478300,13709,20563,3060000,3672000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.804,Giveaway,57,7,482900.0,15300,0.005,118,118,14160.0,-0.971,Mega,24.9,58.2,0.056,0
INF-11E70C36,Gerard Piqué,3gerardpique,Instagram,Sports with a ball,Spain,20400000.0,0.0222,453300,668800,18115,27173,3060000,3672000,23.7,Adidas,Sports & Fitness,16-35 Male,0.743,Giveaway,50,6,295000.0,15300,0.005,168,168,10920.0,-0.963,Mega,28.3,61.2,0.057,0
INF-C65FEBFD,lilbaby,lilbaby,Instagram,Lifestyle,United States,20400000.0,0.0189,385500,711900,15422,23134,3060000,3672000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.919,Giveaway,49,1,499300.0,15300,0.005,190,190,22800.0,-0.954,Mega,28.4,60.1,0.026,0
INF-149B08F0,sonu_sood,sonu sood,Instagram,Cinema & Actors/actresses,India,20300000.0,0.0231,469000,536000,18757,28136,3045000,3654000,20.0,Disney+,Entertainment,18-45 Mixed,0.916,Story Ad,52,1,97700.0,15225,0.005,186,186,2604.0,-0.973,Mega,27.7,57.1,0.074,0
INF-171B305D,gisele,gisele bündchen,Instagram,Modeling,Brazil,20300000.0,0.0149,302000,448400,12099,18148,3045000,3654000,20.0,Maybelline,Beauty & Cosmetics,18-35 Female,0.933,Live Stream,22,2,83100.0,15225,0.005,152,152,5320.0,-0.936,Mega,21.8,56.4,0.086,0
INF-41EB425C,lizakoshy,liza koshy,Instagram,Cinema & Actors/actresses,United States,20300000.0,0.009,182300,242700,7308,10962,3045000,3654000,20.0,Disney+,Entertainment,18-45 Mixed,0.853,Reel/Short Video,13,1,456600.0,15225,0.005,117,117,1638.0,-0.996,Mega,17.1,55.3,0.104,0
INF-2BD718FA,rubyrose,ruby rose,Instagram,Modeling,United States,20300000.0,0.0046,93900,124000,3735,5603,3045000,3654000,20.0,L'Oreal,Beauty & Cosmetics,18-35 Female,0.721,Product Review,37,4,334000.0,15225,0.005,79,79,2765.0,-0.992,Mega,13.7,48.6,0.213,0
INF-B858753B,Hugo Gloss,hugogloss,Instagram,Literature & Journalism,Brazil,20300000.0,0.0055,110900,218700,4466,6699,3045000,3654000,20.0,Amazon,E-commerce,18-45 Mixed,0.576,Sponsored Post,17,1,327800.0,15225,0.005,113,113,5085.0,-0.984,Mega,13.4,44.7,0.276,0
INF-57B05B50,Champions League,championsleague,TikTok,Lifestyle,Unknown,20300000.0,0.0233,474000,1900,2000,9460,2800000,3640000,21.5,Amazon,E-commerce,22-40 Mixed,0.783,Product Review,30,1,303900.0,14000,0.005,147,147,6615.0,-0.978,Mega,29.8,57.4,0.09,0
INF-4193FA6E,Sofia Carson,sofiacarson,Instagram,Cinema & Actors/actresses,Brazil,20300000.0,0.0173,350600,475300,14048,21071,3045000,3654000,20.7,Amazon Prime,Entertainment,18-45 Mixed,0.806,Product Review,44,1,227100.0,15225,0.005,158,158,2212.0,-0.99,Mega,26.7,59.9,0.039,0
INF-64B648BA,Megan Fox,meganfox,Instagram,Cinema & Actors/actresses,United States,20300000.0,0.0493,1000000,1700000,40032,60047,3045000,3654000,39.5,Disney+,Entertainment,18-45 Mixed,0.691,Brand Ambassador,36,1,474800.0,25883,0.0085,243,243,3402.0,-0.993,Mega,52.7,70.8,0.064,1
INF-C092928E,dejesusoficial,gabriel jesus,Instagram,Sports with a ball,Brazil,20300000.0,0.007,142000,221200,5684,8526,3045000,3654000,20.0,Puma,Sports & Fitness,16-35 Male,0.822,Live Stream,49,2,424300.0,15225,0.005,123,123,7995.0,-0.981,Mega,16.9,55.6,0.099,0
INF-21A19D45,Antonela Roccuzzo,antonelaroccuzzo,Instagram,Modeling,Argentina,20200000.0,0.0495,1000000,1700000,39996,59994,3030000,3636000,36.3,Maybelline,Beauty & Cosmetics,18-35 Female,0.854,Giveaway,56,6,438500.0,36966,0.0122,462,462,16170.0,-0.963,Mega,50.4,71.7,0.028,1
INF-95F71C8B,cocielo,júlio cocielo estaniecki,Instagram,Cinema & Actors/actresses,Brazil,20200000.0,0.0105,213000,333400,8484,12726,3030000,3636000,20.0,Disney+,Entertainment,18-45 Mixed,0.922,Live Stream,36,1,104700.0,15150,0.005,111,111,1554.0,-0.985,Mega,20.2,56.0,0.093,0
INF-F3D02F5E,Paris Hilton,parishilton,Instagram,Modeling,United States,20200000.0,0.0054,109300,180600,4363,6545,3030000,3636000,20.0,Versace,Luxury Fashion,18-35 Female,0.832,Brand Ambassador,10,1,391400.0,15150,0.005,111,111,27750.0,-0.929,Mega,13.0,44.9,0.273,0
INF-A25BB49A,otabek_muhammadalievich,otabek umarov,Instagram,Lifestyle,Russia,20200000.0,0.0085,171800,231100,6868,10302,3030000,3636000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.684,Reel/Short Video,41,4,108400.0,15150,0.005,118,118,18880.0,-0.826,Mega,18.6,52.1,0.156,0
INF-1BC2EE85,Los Angeles Lakers,lakers,Instagram,Sports with a ball,United States,20200000.0,0.008,161700,247900,6464,9696,3030000,3636000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.673,Giveaway,20,1,90500.0,15150,0.005,130,130,4940.0,-0.945,Mega,16.5,56.5,0.085,0
INF-97313930,Bunga Citra Lestari,bclsinclair,Instagram,Music,Indonesia,20200000.0,0.0076,153500,242600,6141,9211,3030000,3636000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.918,Live Stream,13,1,132300.0,15150,0.005,133,133,1596.0,-0.988,Mega,16.4,51.6,0.164,0
INF-1F11CBDA,MAKE OUT HILL,xxxtentacion,Instagram,Music,United States,20200000.0,0.5,11800000,20800000,404000,606000,3030000,3636000,68.3,Bose,Consumer Electronics,15-35 Mixed,0.891,Giveaway,25,2,401700.0,400869,0.1323,6093,6093,731160.0,0.82,Mega,53.0,84.3,0.055,1
INF-55AEB78B,Liza Koshy,lizakoshy,Instagram,Cinema & Actors/actresses,United States,20200000.0,0.0083,167000,222400,6706,10060,3030000,3636000,20.0,Amazon Prime,Entertainment,18-45 Mixed,0.925,Live Stream,36,1,108700.0,15150,0.005,115,115,1610.0,-0.985,Mega,19.0,54.7,0.114,0
INF-FE4EC05A,Peyton List,peytonlist,Instagram,Cinema & Actors/actresses,United States,20200000.0,0.011,221200,332500,8888,13332,3030000,3636000,20.0,Disney+,Entertainment,18-45 Mixed,0.945,Story Ad,19,1,479900.0,15150,0.005,136,136,1904.0,-0.996,Mega,18.5,57.8,0.064,0
INF-89CBFE89,Mari Maria,marimaria,Instagram,Beauty,Brazil,20200000.0,0.0037,74200,142900,2990,4484,3030000,3636000,20.0,Nykaa,Beauty & Cosmetics,18-30 Female,0.81,Story Ad,46,4,307600.0,15150,0.005,94,94,3290.0,-0.989,Mega,13.9,51.6,0.164,0
INF-0FA50E46,Skai Jackson 🥰,skaijackson,TikTok,Lifestyle,Unknown,20100000.0,0.022,441500,899,372,8844,2100000,2730000,22.8,Amazon,E-commerce,22-40 Mixed,0.973,Live Stream,46,3,279600.0,10710,0.0051,99,99,4455.0,-0.984,Mega,27.0,54.2,0.156,0
INF-0FA46071,LUCAS RANGEL,lucasranngel,Instagram,Lifestyle,Brazil,20100000.0,0.006,121400,268800,4824,7236,3015000,3618000,20.0,Amazon,E-commerce,22-40 Mixed,0.698,Reel/Short Video,29,1,129900.0,15075,0.005,84,84,3780.0,-0.971,Mega,15.9,47.1,0.237,0
INF-24338478,richarlison,richarlison,Instagram,Sports with a ball,Brazil,20100000.0,0.0945,1900000,3500000,75978,113967,3015000,3618000,66.9,Adidas,Sports & Fitness,16-35 Male,0.705,Live Stream,38,1,383900.0,62712,0.0208,671,671,43615.0,-0.886,Mega,55.3,85.5,0.035,1
INF-BCF6AD58,Pk,pkllipe,TikTok,Lifestyle,Unknown,20100000.0,0.021,422200,1200,1700,8442,2000000,2600000,20.5,Amazon,E-commerce,22-40 Mixed,0.946,Product Review,8,1,299200.0,10000,0.005,99,99,4455.0,-0.985,Mega,27.6,56.0,0.099,0
INF-75E9F72E,luvadepedreiro,iran ferreira,Instagram,Family,Brazil,20100000.0,0.0375,754500,1300000,30150,45225,3015000,3618000,32.9,Colgate,FMCG,25-45 Female,0.806,Brand Ambassador,12,1,464400.0,26230,0.0087,268,268,4824.0,-0.99,Mega,42.2,69.1,0.035,1
INF-59334694,bleacherreport,bleacher report,Instagram,Sports with a ball,United States,20100000.0,0.0046,91600,180600,3698,5548,3015000,3618000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.701,Reel/Short Video,45,1,164400.0,15075,0.005,106,106,4028.0,-0.975,Mega,16.1,51.9,0.159,0
INF-1F2BAE59,Ruby Rose,rubyrose,Instagram,Modeling,United States,20100000.0,0.0041,82000,108300,3296,4945,3015000,3618000,20.0,Versace,Luxury Fashion,18-35 Female,0.821,Product Review,41,1,264400.0,15075,0.005,131,131,32750.0,-0.876,Mega,13.6,47.0,0.238,0
INF-4A4537E9,Mohamed Ramadan,mohamedramadanws,Instagram,Music,Egypt,20100000.0,0.0047,93900,129900,3779,5668,3015000,3618000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.9,Brand Ambassador,15,1,406900.0,15075,0.005,90,90,1080.0,-0.997,Mega,13.7,44.7,0.276,0
INF-F5CCE54D,Otabek Umarov,otabek_muhammadalievich,Instagram,Lifestyle,Russia,20000000.0,0.0079,157400,211900,6320,9480,3000000,3600000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.656,Reel/Short Video,38,2,276700.0,15000,0.005,96,96,11520.0,-0.958,Mega,17.7,56.6,0.082,0
INF-C5F09EAD,Libardo Isaza,libardoisaza,TikTok,Lifestyle,Unknown,20000000.0,0.0228,455100,1000,350,9120,4000000,5200000,21.9,Samsung,Consumer Electronics,22-40 Mixed,0.774,Story Ad,26,2,148600.0,20000,0.005,132,132,15840.0,-0.893,Mega,30.6,61.9,0.024,0
INF-7E530218,Tayler Holder,itstaylerholder,TikTok,Lifestyle,Unknown,20000000.0,0.0151,301200,1200,601,6040,4800000,6240000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.895,Brand Ambassador,19,1,187900.0,24000,0.005,161,161,25760.0,-0.863,Mega,21.3,53.3,0.137,0
